Thread[Thread-1,5,main] Beacon Parent -> 30    Beacon Voltage 17109  Beacon etx 2849 
 Beacon Parent -> 30    Beacon Voltage 14736  Beacon etx 4233 
 Beacon Parent -> 10    Beacon Voltage 22974  Beacon etx 4268 
 Beacon Parent -> 10    Beacon Voltage 22940  Beacon etx 4266 
 Beacon Parent -> 30    Beacon Voltage 27080  Beacon etx 4276 
 Beacon Parent -> 10    Beacon Voltage 22947  Beacon etx 4268 
 Beacon Parent -> 30    Beacon Voltage 27052  Beacon etx 4278 
 Beacon Parent -> 30    Beacon Voltage 27085  Beacon etx 4278 
 Beacon Parent -> 10    Beacon Voltage 22955  Beacon etx 4264 
 Beacon Parent -> 30    Beacon Voltage -26048  Beacon etx 4355 
 Beacon Parent -> 30    Beacon Voltage -26045  Beacon etx 4355 

@ CTP # No: 520 # Best 20 # BestVolt: -26045 # PathVolt: 16494 # BestEtx: 4355 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage -26063  Beacon etx 4482 
 Beacon Parent -> 30    Beacon Voltage -26091  Beacon etx 4482 
 Beacon Parent -> 30    Beacon Voltage -26077  Beacon etx 4769 
 Beacon Parent -> 30    Beacon Voltage -26061  Beacon etx 4769 
